serie,site,zone ,TipoDeArea,transect,year,especie ,grupo_funcional,grupo_trofico,N_max,indice_biodiversidad,biomasa_especie,estado
GH010123,Punta el Yeso,Norte,AMERB,2,2021,Isacia conceptionis ,Omnivore,Omnivoro,5,1.859428815,2264.070587,COMPLETO
GH010123,Punta el Yeso,Norte,AMERB,2,2021,Scartichthys viridis ,Herbivore and Detritivore,Herbivoro,1,1.859428815,16.3207625,COMPLETO
GH010123,Punta el Yeso,Norte,AMERB,2,2021,Paralabrax humeralis ,General Carnivore ,Carnivoro,1,1.859428815,1127.648641,COMPLETO
GH010123,Punta el Yeso,Norte,AMERB,2,2021,Pinguipes chilensis,General Carnivore ,Carnivoro,1,1.859428815,483.9974283,COMPLETO
GH010123,Punta el Yeso,Norte,AMERB,2,2021,Scartichthys gigas ,Herbivore and Detritivore,Herbivoro,3,1.859428815,17.19180765,COMPLETO
GH010123,Punta el Yeso,Norte,AMERB,2,2021,Hemilutjanus macrophthalmos,General Carnivore,Carnivoro,1,1.859428815,553.3373191,COMPLETO
GH010123,Punta el Yeso,Norte,AMERB,2,2021,Aplodactylus punctatus,Herbivore and Detritivore,Herbivoro,1,1.859428815,151.2922882,COMPLETO
GH010123,Punta el Yeso,Norte,AMERB,2,2021,Cheilodactylus variegatus,Movile invertivore,Carnivoro,2,1.859428815,709.9304767,COMPLETO
GH019867,Quintay,Central,AMERB,1,2021,Chromis crusma,Planktivore,Planctivoro,3,1.979204517,93.80431114,COMPLETO
GH019867,Quintay,Central ,AMERB,1,2021,Sebastes oculatus,General Carnivore ,Carnivoro,1,1.979204517,825.0452322,COMPLETO
GH019867,Quintay,Central ,AMERB,1,2021,Paralichthys adspersus ,General Carnivore ,Carnivoro,1,1.979204517,712.5161895,COMPLETO
GH019867,Quintay,Central ,AMERB,1,2021,Pinguipes chilensis,General Carnivore ,Carnivoro,2,1.979204517,1456.560095,COMPLETO
GH019867,Quintay,Central ,AMERB,1,2021,Aplodactylus punctatus,Herbivore and Detritivore,Herbivoro,1,1.979204517,536.3841048,COMPLETO
GH019867,Quintay,Central ,AMERB,1,2021,Semicossyphus darwini ,General Carnivore ,Carnivoro,1,1.979204517,4254.479539,COMPLETO
GH019867,Quintay,Central ,AMERB,1,2021,Prolatilus jugularis,General Carnivore ,Carnivoro,1,1.979204517,442.6136117,COMPLETO
GH019867,Quintay,Central ,AMERB,1,2021,Scartichthys viridis ,Herbivore and Detritivore,Herbivoro,2,1.979204517,30.26080163,COMPLETO
GH020199,Quintay,Central ,AMERB,5,2021,Pinguipes chilensis,General Carnivore ,Carnivoro,2,1.054920168,389.3119668,COMPLETO
GH020199,Quintay,Central ,AMERB,5,2021,Aplodactylus punctatus,Herbivore and Detritivore,Herbivoro,1,1.054920168,268.1920524,COMPLETO
GH020199,Quintay,Central ,AMERB,5,2021,Scartichthys viridis ,Herbivore and Detritivore,Herbivoro,2,1.054920168,19.13450085,COMPLETO
GH020200,Quintay,Central ,AMERB,7,2021,Pinguipes chilensis,General Carnivore ,Carnivoro,2,1.560710409,1456.560095,COMPLETO
GH020200,Quintay,Central ,AMERB,7,2021,Aplodactylus punctatus,Herbivore and Detritivore,Herbivoro,1,1.560710409,435.169875,COMPLETO
GH020200,Quintay,Central ,AMERB,7,2021,Scartichthys viridis ,Herbivore and Detritivore,Herbivoro,1,1.560710409,13.1061092,COMPLETO
GH020200,Quintay,Central ,AMERB,7,2021,Prolatilus jugularis,General Carnivore ,Carnivoro,1,1.560710409,63.73743832,COMPLETO
GH020200,Quintay,Central ,AMERB,7,2021,Chromis crusma,Planktivore,Planctivoro,1,1.560710409,47.62296046,COMPLETO
GH019868,Quintay,Central ,AMERB,2,2021,Chromis crusma,Planktivore,Planctivoro,4,1.153741943,155.5193757,COMPLETO
GH019868,Quintay,Central ,AMERB,2,2021,Pinguipes chilensis,General Carnivore ,Carnivoro,1,1.153741943,483.9974283,COMPLETO
GH019868,Quintay,Central ,AMERB,2,2021,Scartichthys viridis ,Herbivore and Detritivore,Herbivoro,1,1.153741943,16.3207625,COMPLETO
GH019868,Quintay,Central ,AMERB,2,2021,Aplodactylus punctatus,Herbivore and Detritivore,Herbivoro,1,1.153741943,268.1920524,COMPLETO
GH019870,Quintay,Central ,AMERB,4,2021,Sebastes oculatus,General Carnivore ,Carnivoro,1,1.427061043,343.0951763,COMPLETO
GH019870,Quintay,Central ,AMERB,4,2021,Pinguipes chilensis,General Carnivore ,Carnivoro,1,1.427061043,483.9974283,COMPLETO
GH019870,Quintay,Central ,AMERB,4,2021,Chromis crusma,Planktivore,Planctivoro,4,1.427061043,125.0724149,COMPLETO
GH019870,Quintay,Central ,AMERB,4,2021,Scartichthys viridis ,Herbivore and Detritivore,Herbivoro,2,1.427061043,48.46481997,COMPLETO
GH019870,Quintay,Central ,AMERB,4,2021,Aplodactylus punctatus,Herbivore and Detritivore,Herbivoro,1,1.427061043,268.1920524,COMPLETO
GH029871,Quintay,Central ,AMERB,3,2021,Chromis crusma,Planktivore,Planctivoro,2,1.549826046,77.75968786,COMPLETO
GH029871,Quintay,Central ,AMERB,3,2021,Pinguipes chilensis,General Carnivore ,Carnivoro,1,1.549826046,728.2800474,COMPLETO
GH029871,Quintay,Central ,AMERB,3,2021,Aplodactylus punctatus,Herbivore and Detritivore,Herbivoro,1,1.549826046,435.169875,COMPLETO
GH029871,Quintay,Central ,AMERB,3,2021,Cheilodactylus variegatus,Movile invertivore,Carnivoro,2,1.549826046,709.9304767,COMPLETO
GH029871,Quintay,Central ,AMERB,3,2021,Scartichthys viridis ,Herbivore and Detritivore,Herbivoro,1,1.549826046,16.3207625,COMPLETO
GH010205,Quintay,Central ,AMERB,8,2021,Chromis crusma,Planktivore,Planctivoro,4,0.500402424,155.5193757,INCOMPLETO
GH010205,Quintay,Central ,AMERB,8,2021,Sebastes oculatus,General Carnivore ,Carnivoro,1,0.500402424,99.61764535,INCOMPLETO
GH010201,Quintay,Central ,AMERB,6,2021,Chromis crusma,Planktivore,Planctivoro,1,1.098612289,14.45799559,COMPLETO
GH010201,Quintay,Central ,AMERB,6,2021,Pinguipes chilensis,General Carnivore ,Carnivoro,1,1.098612289,1441.594284,COMPLETO
GH010201,Quintay,Central ,AMERB,6,2021,Scartichthys viridis ,Herbivore and Detritivore,Herbivoro,1,1.098612289,6.028391648,COMPLETO
GH010212,Las Cruces,Central ,AMERB,1,2021,Aplodactylus punctatus,Herbivore and Detritivore,Herbivoro,2,1.654066623,1323.681602,COMPLETO
GH010212,Las Cruces,Central ,AMERB,1,2021,Paralichthys adspersus ,General Carnivore ,Carnivoro,1,1.654066623,1442.216227,COMPLETO
GH010212,Las Cruces,Central ,AMERB,1,2021,Pinguipes chilensis,General Carnivore ,Carnivoro,1,1.654066623,1272.310246,COMPLETO
GH010212,Las Cruces,Central ,AMERB,1,2021,Scartichthys viridis ,Herbivore and Detritivore,Herbivoro,1,1.654066623,6.028391648,COMPLETO
GH010212,Las Cruces,Central ,AMERB,1,2021,Cheilodactylus variegatus,Movile invertivore,Carnivoro,1,1.654066623,993.888382,COMPLETO
GH029925,Las Cruces,Central ,AMCP,1,2022,Scartichthys viridis ,Herbivore and Detritivore,Herbivoro,3,1.11746286,28.3775458,COMPLETO
GH029925,Las Cruces,Central ,AMCP,1,2022,Aplodactylus punctatus,Herbivore and Detritivore,Herbivoro,2,1.11746286,1097.010676,COMPLETO
GH029925,Las Cruces,Central ,AMCP,1,2022,Pinguipes chilensis,General Carnivore ,Carnivoro,1,1.11746286,728.2800474,COMPLETO
GH029925,Las Cruces,Central ,AMCP,1,2022,Chromis crusma,Planktivore,Planctivoro,19,1.11746286,96.26090195,COMPLETO
GH029925,Las Cruces,Central ,AMCP,1,2022,Cheilodactylus variegatus,Movile invertivore,Carnivoro,2,1.11746286,1712.096953,COMPLETO
GH029925,Las Cruces,Central ,AMCP,1,2022,Helcogrammoides chilensis ,Movile invertivore,Carnivoro,1,1.11746286,2.172331851,COMPLETO
GH019679,Chañaral de Aceituno,Norte Centro,ALA,1,2021,Chromis crusma,Planktivore,Planctivoro,3,1.242453325,172.7197862,COMPLETO
GH019679,Chañaral de Aceituno,Norte Centro,ALA,1,2021,Scartichthys viridis ,Herbivore and Detritivore,Herbivoro,1,1.242453325,6.028391648,COMPLETO
GH019679,Chañaral de Aceituno,Norte Centro,ALA,1,2021,Pinguipes chilensis,General Carnivore ,Carnivoro,1,1.242453325,483.9974283,COMPLETO
GH019679,Chañaral de Aceituno,Norte Centro,ALA,1,2021,Aplodactylus punctatus,Herbivore and Detritivore,Herbivoro,1,1.242453325,361.7586591,COMPLETO
GH010188,Chañaral de Aceituno,Norte Centro,ALA,2,2021,Aplodactylus punctatus,Herbivore and Detritivore,Herbivoro,1,1.33217904,771.4147451,COMPLETO
GH010188,Chañaral de Aceituno,Norte Centro,ALA,2,2021,Pinguipes chilensis,General Carnivore ,Carnivoro,1,1.33217904,1272.310246,COMPLETO
GH010188,Chañaral de Aceituno,Norte Centro,ALA,2,2021,Chromis crusma,Planktivore,Planctivoro,2,1.33217904,77.75968786,COMPLETO
GH010188,Chañaral de Aceituno,Norte Centro,ALA,2,2021,Cheilodactylus variegatus,Movile invertivore,Carnivoro,1,1.33217904,1987.776764,COMPLETO
GH010193,Chañaral de Aceituno,Norte Centro,AMCP,1,2021,Chromis crusma,Planktivore,Planctivoro,16,0.932073887,761.9673674,COMPLETO
GH010193,Chañaral de Aceituno,Norte Centro,AMCP,1,2021,Aplodactylus punctatus,Herbivore and Detritivore,Herbivoro,1,0.932073887,661.8408008,COMPLETO
GH010193,Chañaral de Aceituno,Norte Centro,AMCP,1,2021,Sebastes oculatus,General Carnivore ,Carnivoro,1,0.932073887,343.0951763,COMPLETO
GH010193,Chañaral de Aceituno,Norte Centro,AMCP,1,2021,Pinguipes chilensis,General Carnivore ,Carnivoro,1,0.932073887,845.5468325,COMPLETO
GH010193,Chañaral de Aceituno,Norte Centro,AMCP,1,2021,Scartichthys viridis ,Herbivore and Detritivore,Herbivoro,1,0.932073887,6.028391648,COMPLETO
GH010193,Chañaral de Aceituno,Norte Centro,AMCP,1,2021,Auchenionchus spp,General Carnivore ,Carnivoro,1,0.932073887,63.25992955,COMPLETO
GH019687,Chañaral de Aceituno,Norte Centro,AMCP,2,2021,Chromis crusma,Planktivore,Planctivoro,2,1.844621476,77.75968786,COMPLETO
GH019687,Chañaral de Aceituno,Norte Centro,AMCP,2,2021,Scartichthys viridis ,Herbivore and Detritivore,Herbivoro,3,1.844621476,61.63700262,COMPLETO
GH019687,Chañaral de Aceituno,Norte Centro,AMCP,2,2021,Cheilodactylus variegatus,Movile invertivore,Carnivoro,2,1.844621476,1712.096953,COMPLETO
GH019687,Chañaral de Aceituno,Norte Centro,AMCP,2,2021,Hemilutjanus macrophthalmos,General Carnivore,Carnivoro,3,1.844621476,2484.545167,COMPLETO
GH019687,Chañaral de Aceituno,Norte Centro,AMCP,2,2021,Pinguipes chilensis,General Carnivore ,Carnivoro,1,1.844621476,728.2800474,COMPLETO
GH019687,Chañaral de Aceituno,Norte Centro,AMCP,2,2021,Aplodactylus punctatus,Herbivore and Detritivore,Herbivoro,1,1.844621476,771.4147451,COMPLETO
GH019687,Chañaral de Aceituno,Norte Centro,AMCP,2,2021,Semicossyphus darwini ,General Carnivore ,Carnivoro,1,1.844621476,2127.239769,COMPLETO
GH010102,Punta el Yeso,Norte,AMERB,1,2021,Scartichthys gigas ,Herbivore and Detritivore,Herbivoro,1,1.098612289,8.513155096,COMPLETO
GH010102,Punta el Yeso,Norte,AMERB,1,2021,Cheilodactylus variegatus,Movile invertivore,Carnivoro,1,1.098612289,354.9652384,COMPLETO
GH010102,Punta el Yeso,Norte,AMERB,1,2021,Pinguipes chilensis,General Carnivore ,Carnivoro,1,1.098612289,728.2800474,COMPLETO
GH010124,Punta el Yeso,Norte,AMERB,4,2021,Chromis crusma,Planktivore,Planctivoro,4,0.693147181,125.0724149,COMPLETO
GH010124,Punta el Yeso,Norte,AMERB,4,2021,NaN,NaN,Carnivoro,0,0,0,COMPLETO
GH010124,Punta el Yeso,Norte,AMERB,4,2021,Scartichthys gigas ,Herbivore and Detritivore,Herbivoro,4,0.693147181,28.4387217,COMPLETO
GOPR9622,Punta el Yeso,Norte,AMERB,6,2021,Cheilodactylus variegatus,Movile invertivore,Carnivoro,1,1.632630927,568.9092578,COMPLETO
GOPR9622,Punta el Yeso,Norte,AMERB,6,2021,Scartichthys viridis ,Herbivore and Detritivore,Herbivoro,2,1.632630927,44.6819824,COMPLETO
GOPR9622,Punta el Yeso,Norte,AMERB,6,2021,Auchenionchus spp,General Carnivore ,Carnivoro,1,1.632630927,63.25992955,COMPLETO
GOPR9622,Punta el Yeso,Norte,AMERB,6,2021,Scartichthys gigas ,Herbivore and Detritivore,Herbivoro,3,1.632630927,25.53946529,COMPLETO
GOPR9622,Punta el Yeso,Norte,AMERB,6,2021,Pinguipes chilensis,General Carnivore ,Carnivoro,1,1.632630927,728.2800474,COMPLETO
GOPR9622,Punta el Yeso,Norte,AMERB,6,2021,Chromis crusma,Planktivore,Planctivoro,4,1.632630927,98.84641955,COMPLETO
GH029772,Punta Arenas,Norte,AMERB,1,2021,Scartichthys gigas ,Herbivore and Detritivore,Herbivoro,2,1.991346413,43.71236322,COMPLETO
GH029772,Punta Arenas,Norte,AMERB,1,2021,Chromis crusma,Planktivore,Planctivoro,2,1.991346413,49.42320977,COMPLETO
GH029772,Punta Arenas,Norte,AMERB,1,2021,Isacia conceptionis ,Omnivore,Omnivoro,3,1.991346413,879.1760503,COMPLETO
GH029772,Punta Arenas,Norte,AMERB,1,2021,Girella laevifrons,Omnivore ,Omnivoro ,3,1.991346413,1235.344182,COMPLETO
GH029772,Punta Arenas,Norte,AMERB,1,2021,Pinguipes chilensis,General Carnivore ,Carnivoro,1,1.991346413,728.2800474,COMPLETO
GH029772,Punta Arenas,Norte,AMERB,1,2021,Scartichthys viridis ,Herbivore and Detritivore,Herbivoro,1,1.991346413,34.34061547,COMPLETO
GH029772,Punta Arenas,Norte,AMERB,1,2021,Anisotremus scapularis,Herbivore and Detritivore,Herbivoro,1,1.991346413,566.2270403,COMPLETO
GH029772,Punta Arenas,Norte,AMERB,1,2021,Cheilodactylus variegatus,Movile invertivore,Carnivoro,2,1.991346413,1712.096953,COMPLETO
GH019643,Chañaral de Aceituno,Norte Centro,AMCP,3,2021,Aplodactylus punctatus,Herbivore and Detritivore,Herbivoro,2,0.996355149,1323.681602,COMPLETO
GH019643,Chañaral de Aceituno,Norte Centro,AMCP,3,2021,Paralabrax humeralis ,General Carnivore ,Carnivoro,1,0.996355149,1555.01344,COMPLETO
GH019643,Chañaral de Aceituno,Norte Centro,AMCP,3,2021,Isacia conceptionis ,Omnivore,Omnivoro,16,0.996355149,4583.613351,COMPLETO
GH019643,Chañaral de Aceituno,Norte Centro,AMCP,3,2021,Chromis crusma,Planktivore,Planctivoro,12,0.996355149,571.4755256,COMPLETO
GH019644,Chañaral de Aceituno,Norte Centro,AMCP,4,2021,Pinguipes chilensis,General Carnivore ,Carnivoro,3,1.782047156,1451.992285,COMPLETO
GH019644,Chañaral de Aceituno,Norte Centro,AMCP,4,2021,Aplodactylus punctatus,Herbivore and Detritivore,Herbivoro,3,1.782047156,804.5761572,COMPLETO
GH019644,Chañaral de Aceituno,Norte Centro,AMCP,4,2021,Scartichthys viridis ,Herbivore and Detritivore,Herbivoro,2,1.782047156,36.98873518,COMPLETO
GH019644,Chañaral de Aceituno,Norte Centro,AMCP,4,2021,Cheilodactylus variegatus,Movile invertivore,Carnivoro,1,1.782047156,568.9092578,COMPLETO
GH019644,Chañaral de Aceituno,Norte Centro,AMCP,4,2021,Isacia conceptionis ,Omnivore,Omnivoro,4,1.782047156,2136.274116,COMPLETO
GH019644,Chañaral de Aceituno,Norte Centro,AMCP,4,2021,Chromis crusma,Planktivore,Planctivoro,6,1.782047156,233.2790636,COMPLETO
GH019644,Chañaral de Aceituno,Norte Centro,AMCP,4,2021,Hemilutjanus macrophthalmos,General Carnivore,Carnivoro,1,1.782047156,553.3373191,COMPLETO
GOPR9700,Cobquecura,Sur Centro,AMERB,2,2022,Prolatilus jugularis,General Carnivore ,Carnivoro,2,1.277034259,442.6136117,COMPLETO
GOPR9700,Cobquecura,Sur Centro,AMERB,2,2022,Pinguipes chilensis,General Carnivore ,Carnivoro,3,1.277034259,2184.840142,COMPLETO
GOPR9700,Cobquecura,Sur Centro,AMERB,2,2022,Congiopodus peruvianus,Movile invertivore,Carnivoro,1,1.277034259,135.1941211,COMPLETO
GOPR9700,Cobquecura,Sur Centro,AMERB,2,2022,Scartichthys viridis ,Herbivore and Detritivore,Herbivoro,1,1.277034259,20.01850249,COMPLETO
GOPR9706,Cobquecura,Sur Centro,AMERB,5,2022,Pinguipes chilensis,General Carnivore ,Carnivoro,3,1.475076311,1721.128788,COMPLETO
GOPR9706,Cobquecura,Sur Centro,AMERB,5,2022,Scartichthys viridis ,Herbivore and Detritivore,Herbivoro,1,1.475076311,28.99547761,COMPLETO
GOPR9706,Cobquecura,Sur Centro,AMERB,5,2022,Schroederichthys chilensis,Movile invertivore,Carnivoro,1,1.475076311,255.5300028,COMPLETO
GOPR9706,Cobquecura,Sur Centro,AMERB,5,2022,Chromis crusma,Planktivore,Planctivoro,1,1.475076311,38.87984393,COMPLETO
GOPR9706,Cobquecura,Sur Centro,AMERB,5,2022,Aplodactylus punctatus,Herbivore and Detritivore,Herbivoro,1,1.475076311,435.169875,COMPLETO
GH029775,Punta Arenas,Norte,AMERB,2,2021,Girella laevifrons,Omnivore ,Omnivoro ,1,1.840340796,411.7813942,COMPLETO
GH029775,Punta Arenas,Norte,AMERB,2,2021,Cheilodactylus variegatus,Movile invertivore,Carnivoro,4,1.840340796,3424.193907,COMPLETO
GH029775,Punta Arenas,Norte,AMERB,2,2021,Semicossyphus darwini ,General Carnivore ,Carnivoro,2,1.840340796,4254.479539,COMPLETO
GH029775,Punta Arenas,Norte,AMERB,2,2021,Chromis crusma,Planktivore,Planctivoro,3,1.840340796,116.6395318,COMPLETO
GH029775,Punta Arenas,Norte,AMERB,2,2021,Scartichthys viridis ,Herbivore and Detritivore,Herbivoro,1,1.840340796,20.01850249,COMPLETO
GH029775,Punta Arenas,Norte,AMERB,2,2021,Pinguipes chilensis,General Carnivore ,Carnivoro,1,1.840340796,908.6744408,COMPLETO
GH029775,Punta Arenas,Norte,AMERB,2,2021,Paralabrax humeralis ,General Carnivore ,Carnivoro,1,1.840340796,787.3332766,COMPLETO
GH029775,Punta Arenas,Norte,AMERB,2,2021,Isacia conceptionis ,Omnivore,Omnivoro,6,1.840340796,1718.855007,COMPLETO
GH019767,Pisagua,Norte,AMERB,1,2021,Cheilodactylus variegatus,Movile invertivore,Carnivoro,2,1.735126457,709.9304767,COMPLETO
GH019767,Pisagua,Norte,AMERB,1,2021,Chromis crusma,Planktivore,Planctivoro,2,1.735126457,49.42320977,COMPLETO
GH019767,Pisagua,Norte,AMERB,1,2021,Pinguipes chilensis,General Carnivore ,Carnivoro,1,1.735126457,483.9974283,COMPLETO
GH019767,Pisagua,Norte,AMERB,1,2021,Paralabrax humeralis ,General Carnivore ,Carnivoro,2,1.735126457,1574.666553,COMPLETO
GH019767,Pisagua,Norte,AMERB,1,2021,Scartichthys gigas ,Herbivore and Detritivore,Herbivoro,1,1.735126457,23.51782819,COMPLETO
GH019767,Pisagua,Norte,AMERB,1,2021,Scartichthys viridis ,Herbivore and Detritivore,Herbivoro,1,1.735126457,24.23240998,COMPLETO
GH029768,Pisagua,Norte,AMERB,3,2021,Paralabrax humeralis ,General Carnivore ,Herbivoro,0,0,0,COMPLETO
GH029768,Pisagua,Norte,AMERB,3,2021,Paralabrax humeralis ,General Carnivore ,Carnivoro,1,1.314373843,1127.648641,COMPLETO
GH029768,Pisagua,Norte,AMERB,3,2021,Cheilodactylus variegatus,Movile invertivore,Carnivoro,3,1.314373843,1706.727773,COMPLETO
GH029768,Pisagua,Norte,AMERB,3,2021,Chromis crusma,Planktivore,Planctivoro,6,1.314373843,233.2790636,COMPLETO
GH029768,Pisagua,Norte,AMERB,3,2021,Pinguipes chilensis,General Carnivore ,Carnivoro,1,1.314373843,1272.310246,COMPLETO
GH029768,Pisagua,Norte,AMERB,3,2021,Isacia conceptionis ,Omnivore,Omnivoro,1,1.314373843,452.8141173,COMPLETO
GP019620,Pisagua,Norte,AMERB,4,2021,Pinguipes chilensis,General Carnivore ,Carnivoro,2,1.329661349,1456.560095,COMPLETO
GP019620,Pisagua,Norte,AMERB,4,2021,Cheilodactylus variegatus,Movile invertivore,Carnivoro,2,1.329661349,709.9304767,COMPLETO
GP019620,Pisagua,Norte,AMERB,4,2021,Scartichthys gigas ,Herbivore and Detritivore,Herbivoro,1,1.329661349,50.23582178,COMPLETO
GP019620,Pisagua,Norte,AMERB,4,2021,Isacia conceptionis ,Omnivore,Omnivoro,1,1.329661349,286.4758345,COMPLETO
GH010082,Pisagua,Norte,AMERB,5,2021,Pinguipes chilensis,General Carnivore ,Carnivoro,3,1.594166699,1464.120683,COMPLETO
GH010082,Pisagua,Norte,AMERB,5,2021,Cheilodactylus variegatus,Movile invertivore,Carnivoro,4,1.594166699,2058.784097,COMPLETO
GH010082,Pisagua,Norte,AMERB,5,2021,Scartichthys gigas ,Herbivore and Detritivore,Herbivoro,1,1.594166699,50.23582178,COMPLETO
GH010082,Pisagua,Norte,AMERB,5,2021,Paralabrax humeralis ,General Carnivore ,Carnivoro,1,1.594166699,570.9502416,COMPLETO
GH010082,Pisagua,Norte,AMERB,5,2021,Scartichthys viridis ,Herbivore and Detritivore,Herbivoro,1,1.594166699,34.34061547,COMPLETO
GH010082,Pisagua,Norte,AMERB,5,2021,Prolatilus jugularis,General Carnivore ,Carnivoro,1,1.594166699,535.250019,COMPLETO
GH019769,Pisagua,Norte,AMERB,6,2021,Chromis crusma,Planktivore,Planctivoro,5,1.666453003,123.5580244,COMPLETO
GH019769,Pisagua,Norte,AMERB,6,2021,Paralabrax humeralis ,General Carnivore ,Carnivoro,5,1.666453003,6437.898195,COMPLETO
GH019769,Pisagua,Norte,AMERB,6,2021,Scartichthys viridis ,Herbivore and Detritivore,Herbivoro,2,1.666453003,34.57377691,COMPLETO
GH019769,Pisagua,Norte,AMERB,6,2021,Pinguipes chilensis,General Carnivore ,Carnivoro,1,1.666453003,483.9974283,COMPLETO
GH019769,Pisagua,Norte,AMERB,6,2021,Scartichthys gigas ,Herbivore and Detritivore,Herbivoro,6,1.666453003,66.08360367,COMPLETO
GH019769,Pisagua,Norte,AMERB,6,2021,Cheilodactylus variegatus,Movile invertivore,Carnivoro,5,1.666453003,4280.242384,COMPLETO
GH019771,Pisagua,Norte,AMERB,7,2021,Cheilodactylus variegatus,Movile invertivore,Carnivoro,4,1.632630927,3424.193907,COMPLETO
GH019771,Pisagua,Norte,AMERB,7,2021,Paralabrax humeralis ,General Carnivore ,Carnivoro,2,1.632630927,1052.615183,COMPLETO
